"genes"	"HGNC.symbol"
"112"	"Dcc"	"DCC"
"113"	"2700049A03Rik"	"KIAA0586"
"114"	"Vps4b"	"VPS4B"
"115"	"Prkg1"	"PRKG1"
"116"	"Park7"	"PARK7"
"117"	"Npy"	"NPY"
"118"	"Tmc1"	"TMC1"
"119"	"Dusp22"	"DUSP22"
"120"	"Cyp4f39"	"CYP4F22"
"121"	"Phox2b"	"PHOX2B"
"122"	"Mrm2"	"MRM2"
"123"	"Tmem229b"	"TMEM229B"
"124"	"Cyp4a10"	"CYP4A11"
"125"	"Tulp4"	"TULP4"
"126"	"Scnm1"	"SCNM1"
"127"	"Cfl1"	"CFL1"
"128"	"Cdkn1b"	"CDKN1B"
"129"	"Tmod4"	"TMOD4"
"130"	"Ndufa9"	"NDUFA9"
"131"	"Aco1"	"ACO1"
"132"	"Asphd2"	"ASPHD2"
"133"	"Cwf19l1"	"CWF19L1"
"134"	"Aamdc"	"AAMDC"
"135"	"Lyzl1"	"LYZL2"
"136"	"Timm9"	"TIMM9"
"137"	"Ubtd1"	"UBTD1"
"138"	"Rhot2"	"RHOT2"
"139"	"Rln1"	"RLN1"
"140"	"Lif"	"LIF"
"141"	"Dcbld1"	"DCBLD1"
"142"	"Agrn"	"AGRN"
"143"	"Pacsin3"	"PACSIN3"
"144"	"Lysmd1"	"LYSMD1"
"145"	"Gm38431"	"RAVER1"
"146"	"Cyp4a31"	"CYP4A11"
"147"	"Npr1"	"NPR1"
"148"	"Apold1"	"APOLD1"
"149"	"Prss37"	"PRSS37"
"150"	"Htr3b"	"HTR3B"
"151"	"Nup155"	"NUP155"
"152"	"Clec4n"	"CLEC6A"
"153"	"Nhp2"	"NHP2"
"154"	"Cfap221"	"CFAP221"
"155"	"Skp2"	"SKP2"
"156"	"Gpam"	"GPAM"
"157"	"Snx32"	"SNX32"
"158"	"Fam20c"	"FAM20C"
"159"	"Tmem189"	"TMEM189"
"160"	"Tnfaip8l2"	"TNFAIP8L2"
"161"	"Osm"	"OSM"
"162"	"Mppe1"	"MPPE1"
"163"	"Cyp39a1"	"CYP39A1"
"164"	"Ankrd34b"	"ANKRD34B"
"165"	"Zcchc24"	"ZCCHC24"
"166"	"Fam129c"	"NIBAN3"
"167"	"Nelfcd"	"NELFCD"
"168"	"Lrwd1"	"LRWD1"
"169"	"Vkorc1l1"	"VKORC1L1"
"170"	"Syndig1"	"SYNDIG1"
"171"	"Mad1l1"	"MAD1L1"
"172"	"Efemp2"	"EFEMP2"
"173"	"Mmp13"	"MMP13"
"174"	"Slc6a3"	"SLC6A3"
"175"	"Rnf144b"	"RNF144B"
"176"	"Polr2d"	"POLR2D"
"177"	"Themis"	"THEMIS"
"178"	"Rnf26"	"RNF26"
"179"	"Mdga2"	"MDGA2"
"180"	"Arhgap25"	"ARHGAP25"
"181"	"Tmco1"	"TMCO1"
"182"	"Prx"	"PRX"
"183"	"Pcdhgb6"	"PCDHGB6"
"184"	"Anxa3"	"ANXA3"
"185"	"Agpat1"	"AGPAT1"
"186"	"Sdf2"	"SDF2"
"187"	"Cst7"	"CST7"
"188"	"Gusb"	"GUSB"
"189"	"Msh3"	"MSH3"
"190"	"Sync"	"SYNC"
"191"	"Poli"	"POLI"
"192"	"Adam39"	"ADAM20"
"193"	"Tex36"	"TEX36"
"194"	"Gna12"	"GNA12"
"195"	"Zfp941"	"ZNF195"
"196"	"Magel2"	"MAGEL2"
"197"	"Pcdhgb1"	"PCDHGB1"
"198"	"Pcdhga6"	"PCDHGA6"
"199"	"Mrgpre"	"MRGPRE"
"200"	"Taf4b"	"TAF4B"
"201"	"Sh3gl1"	"SH3GL1"
"202"	"Creb3l2"	"CREB3L2"
"203"	"Pcdhga11"	"PCDHGA11"
"204"	"Aqp7"	"AQP7"
"205"	"Zfp819"	"ZNF510"
"206"	"Mbd2"	"MBD2"
"207"	"Sertad1"	"SERTAD1"
"208"	"Kcnq1"	"KCNQ1"
"209"	"Cyp2a5"	"CYP2A13"
"210"	"Hhipl1"	"HHIPL1"
"211"	"Mus81"	"MUS81"
"212"	"Cyp4a31"	"CYP4A22"
"213"	"Smarcb1"	"SMARCB1"
"214"	"Slc43a3"	"SLC43A3"
"215"	"Stmnd1"	"STMND1"
"216"	"P2rx3"	"P2RX3"
"217"	"Pcdhga4"	"PCDHGA4"
"218"	"Pcdhga1"	"PCDHGA1"
"219"	"Prr27"	"PRR27"
"220"	"Ucn"	"UCN"
"221"	"Slc3a2"	"SLC3A2"
"222"	"Kat14"	"KAT14"
"223"	"Ghrh"	"GHRH"
"224"	"Tmem30a"	"TMEM30A"
"225"	"Pcdhgc3"	"PCDHGC3"
"226"	"Pcdhgb5"	"PCDHGB5"
"227"	"Snapc5"	"SNAPC5"
"228"	"Nfkbil1"	"NFKBIL1"
"229"	"Vstm5"	"VSTM5"
"230"	"Wdtc1"	"WDTC1"
"231"	"Tmem177"	"TMEM177"
"232"	"Pcdhga7"	"PCDHGA7"
"233"	"Tmc3"	"TMC3"
"234"	"Ros1"	"ROS1"
"235"	"Fancd2os"	"FANCD2OS"
"236"	"Errfi1"	"ERRFI1"
"237"	"Tsr3"	"TSR3"
"238"	"Rab39"	"RAB39A"
"239"	"Tubb2b"	"TUBB2B"
"240"	"Cisd2"	"CISD2"
"241"	"Babam2"	"BABAM2"
"242"	"Dcun1d2"	"DCUN1D2"
"243"	"Baiap3"	"BAIAP3"
"244"	"Clip2"	"CLIP2"
"245"	"Glis1"	"GLIS1"
"246"	"Meis2"	"MEIS2"
"247"	"Ust"	"UST"
"248"	"Ndn"	"NDN"
"249"	"Tbck"	"TBCK"
"250"	"Nat10"	"NAT10"
"251"	"Nub1"	"NUB1"
"252"	"Akap3"	"AKAP3"
"253"	"Psmg4"	"PSMG4"
"254"	"Trim54"	"TRIM54"
"255"	"Sftpa1"	"SFTPA2"
"256"	"Sftpa1"	"SFTPA1"
"257"	"Prg2"	"PRG2"
"258"	"Ugdh"	"UGDH"
"259"	"Olfr211"	"OR13A1"
"260"	"Egf"	"EGF"
"261"	"Pcdhgb7"	"PCDHGB7"
"262"	"Slc22a1"	"SLC22A1"
"263"	"Scube3"	"SCUBE3"
"264"	"Tmem181a"	"TMEM181"
"265"	"Mkrn3"	"MKRN3"
"266"	"Gopc"	"GOPC"
"267"	"Clec4d"	"CLEC4D"
"268"	"Ammecr1l"	"AMMECR1L"
"269"	"Vit"	"VIT"
"270"	"Ccna1"	"CCNA1"
"271"	"Ggt1"	"GGTLC3"
"272"	"Tacc2"	"TACC2"
"273"	"Blmh"	"BLMH"
"274"	"Trim71"	"TRIM71"
"275"	"Ctrc"	"CTRC"
"276"	"Vrk2"	"VRK2"
"277"	"Blvrb"	"BLVRB"
"278"	"Htr5a"	"HTR5A"
"279"	"Serpinb5"	"SERPINB5"
"280"	"Map2k1"	"MAP2K1"
"281"	"Ankrd2"	"ANKRD2"
"282"	"Sct"	"SCT"
"283"	"Rbm24"	"RBM24"
"284"	"Gmnn"	"GMNN"
"285"	"Pcdhga3"	"PCDHGA3"
"286"	"C1qa"	"C1QA"
"287"	"Kcna6"	"KCNA6"
"288"	"Tspan12"	"TSPAN12"
"289"	"Pcdhga10"	"PCDHGA10"
"290"	"Rasa4"	"RASA4B"
"291"	"Atp6v1g2"	"ATP6V1G2"
"292"	"Larp6"	"LARP6"
"293"	"Cfap74"	"CFAP74"
"294"	"Cdh6"	"CDH6"
"295"	"Wdr86"	"WDR86"
"296"	"Fancd2"	"FANCD2"
"297"	"Slc35f2"	"SLC35F2"
"298"	"Slc5a1"	"SLC5A1"
"299"	"Pcdhgc5"	"PCDHGC5"
"300"	"Bbox1"	"BBOX1"
"301"	"Lpcat1"	"LPCAT1"
"302"	"Adgra2"	"ADGRA2"
"303"	"Dmrtb1"	"DMRTB1"
"304"	"Pcdhga9"	"PCDHGA9"
"305"	"Tnfsf11"	"TNFSF11"
"306"	"C1qtnf5"	"C1QTNF5"
"307"	"Uba6"	"UBA6"
"308"	"Cyp2a4"	"CYP2A13"
"309"	"Mrpl33"	"MRPL33"
"310"	"Prg3"	"PRG3"
"311"	"Ptpn6"	"PTPN6"
"312"	"Cul5"	"CUL5"
"313"	"Slc22a23"	"SLC22A23"
"314"	"Smim14"	"SMIM14"
"315"	"Comtd1"	"COMTD1"
"316"	"Emsy"	"EMSY"
"317"	"Tifab"	"TIFAB"
"318"	"Cyp4x1"	"CYP4X1"
"319"	"Reep1"	"REEP1"
"320"	"Mfrp"	"MFRP"
"321"	"Golga5"	"GOLGA5"
"322"	"Manbal"	"MANBAL"
"323"	"Adam20"	"ADAM20"
"324"	"Pet117"	"PET117"
"325"	"Pcdhga12"	"PCDHGA12"
"326"	"Adam25"	"ADAM20"
"327"	"Atxn1"	"ATXN1"
"328"	"Htatip2"	"HTATIP2"
"329"	"Gsn"	"GSN"
"330"	"Hdac9"	"HDAC9"
"331"	"Olfr1289"	"OR4F5"
"332"	"Slc25a48"	"SLC25A48"
"333"	"Exd1"	"EXD1"
"334"	"Hnrnph1"	"HNRNPH1"
"335"	"Pif1"	"PIF1"
"336"	"Pom121"	"POM121C"
"337"	"Gnl2"	"GNL2"
"338"	"Ugcg"	"UGCG"
"339"	"Edrf1"	"EDRF1"
"340"	"Fancl"	"FANCL"
"341"	"Pcdhgb2"	"PCDHGB2"
"342"	"Pcdhgb4"	"PCDHGB4"
"343"	"Ttyh3"	"TTYH3"
"344"	"Slc9b1"	"SLC9B1"
"345"	"Tipin"	"TIPIN"
"346"	"Sertad3"	"SERTAD3"
"347"	"Emc3"	"EMC3"
"348"	"Usp50"	"USP50"
"349"	"Cyp4a10"	"CYP4A22"
"350"	"Gpx7"	"GPX7"
"351"	"Pdgfa"	"PDGFA"
"352"	"Sult1c2"	"SULT1C2"
"353"	"Kcnd2"	"KCND2"
"354"	"Tectb"	"TECTB"
"355"	"Derl3"	"DERL3"
"356"	"Pcdhga8"	"PCDHGA8"
"357"	"Fibin"	"FIBIN"
"358"	"Dhfr"	"DHFR"
"359"	"Clec4e"	"CLEC4E"
"360"	"Tekt3"	"TEKT3"
"361"	"Amz1"	"AMZ1"
"362"	"Pepd"	"PEPD"
"363"	"Ccdc130"	"CCDC130"
"364"	"Dyrk4"	"DYRK4"
"365"	"Csnk1g2"	"CSNK1G2"
"366"	"Acat1"	"ACAT1"
"367"	"Fkbpl"	"FKBPL"
"368"	"Stx16"	"STX16"
"369"	"Hmgcs2"	"HMGCS2"
"370"	"Yaf2"	"YAF2"
"371"	"Epha8"	"EPHA8"
"372"	"Lrrc49"	"LRRC49"
"373"	"Ccnd3"	"CCND3"
"374"	"Cyp4a32"	"CYP4A22"
"375"	"Aimp1"	"AIMP1"
"376"	"Pcdhga5"	"PCDHGA5"
"377"	"Lhfp"	"LHFPL6"
"378"	"Gipc2"	"GIPC2"
"379"	"Tmem191c"	"TMEM191B"
"380"	"Pcdhga2"	"PCDHGA2"
"381"	"Cyp2a12"	"CYP2A13"
"382"	"Eif2ak4"	"EIF2AK4"
"383"	"Slc22a17"	"SLC22A17"
"384"	"Zfp503"	"ZNF503"
"385"	"Nsfl1c"	"NSFL1C"
"386"	"Id4"	"ID4"
"387"	"Dnali1"	"DNALI1"
"388"	"Sertm1"	"SERTM1"
"389"	"Atp4a"	"ATP4A"
"390"	"Ckb"	"CKB"
"391"	"Zfp619"	"ZNF850"
"392"	"Trmt61a"	"TRMT61A"
"393"	"Frrs1"	"FRRS1"
"394"	"Pcdhgc4"	"PCDHGC4"
"395"	"Mmp21"	"MMP21"
"396"	"Ccr4"	"CCR4"
"397"	"Matk"	"MATK"
"398"	"Eps15"	"EPS15"
"399"	"Prmt3"	"PRMT3"
"400"	"Atp12a"	"ATP12A"
"401"	"Ric1"	"RIC1"
"402"	"Mmp14"	"MMP14"
"403"	"Zfp93"	"ZNF233"
"404"	"Tmprss11f"	"TMPRSS11F"
"405"	"Pabpc1l"	"PABPC1L"
"406"	"Olfr699"	"OR2AG2"
"407"	"Olfr699"	"OR2AG1"
"408"	"Chaf1a"	"CHAF1A"
"409"	"Mboat1"	"MBOAT1"
"410"	"Zfp108"	"ZNF233"
"411"	"Trim21"	"TRIM21"
"412"	"Olfr547"	"OR52B4"
"413"	"Kctd14"	"KCTD14"
"414"	"Srp14"	"SRP14"
"415"	"Cacna1i"	"CACNA1I"
"416"	"Polrmt"	"POLRMT"
"417"	"Bet1l"	"BET1L"
"418"	"Agbl1"	"AGBL1"
"419"	"Ttc9"	"TTC9"
"420"	"Arrb2"	"ARRB2"
"421"	"Cyp4f37"	"CYP4F8"
"422"	"Dynlt1a"	"DYNLT1"
"423"	"Tmprss11a"	"TMPRSS11A"
"424"	"Klhl25"	"KLHL25"
"425"	"Zeb1"	"ZEB1"
"426"	"Hnrnpab"	"HNRNPAB"
"427"	"Nadk2"	"NADK2"
"428"	"Suclg1"	"SUCLG1"
"429"	"Msantd3"	"MSANTD3"
"430"	"Mri1"	"MRI1"
"431"	"Gtf2a2"	"GTF2A2"
"432"	"Sirpb1b"	"SIRPB1"
"433"	"Coa7"	"COA7"
"434"	"Smap2"	"SMAP2"
"435"	"Ankrd53"	"ANKRD53"
"436"	"Atp2a3"	"ATP2A3"
"437"	"Mex3b"	"MEX3B"
"438"	"Fam234b"	"FAM234B"
"439"	"Pik3c3"	"PIK3C3"
"440"	"Slx4ip"	"SLX4IP"
"441"	"B3gnt3"	"B3GNT3"
"442"	"Olfr1507"	"OR4E1"
"443"	"Olfr2"	"OR6A2"
"444"	"Tmco3"	"TMCO3"
"445"	"Sirpb1a"	"SIRPB1"
"446"	"Fam126a"	"FAM126A"
"447"	"Olfr419"	"OR10Z1"
"448"	"Olfr706"	"OR2AG2"
"449"	"Olfr706"	"OR2AG1"
"450"	"Olfr1511"	"OR10G2"
"451"	"Olfr713"	"OR10A2"
"452"	"Atp6v1b1"	"ATP6V1B1"
"453"	"Serpinb3c"	"SERPINB4"
"454"	"Tmem175"	"TMEM175"
"455"	"Prrt1"	"PRRT1"
"456"	"Slc45a1"	"SLC45A1"
"457"	"Xrcc3"	"XRCC3"
"458"	"Scd2"	"SCD"
"459"	"Elovl6"	"ELOVL6"
"460"	"Defb20"	"DEFB128"
"461"	"Dlx6"	"DLX6"
"462"	"Alox5"	"ALOX5"
"463"	"Plekho2"	"PLEKHO2"
"464"	"Erlec1"	"ERLEC1"
"465"	"Rb1"	"RB1"
"466"	"Tbc1d10a"	"TBC1D10A"
"467"	"Adam30"	"ADAM30"
"468"	"Anxa7"	"ANXA7"
"469"	"Zfand4"	"ZFAND4"
"470"	"Mkks"	"MKKS"
"471"	"Tal1"	"TAL1"
"472"	"Fam89b"	"FAM89B"
"473"	"Olfr1508"	"OR4E1"
"474"	"Thy1"	"THY1"
"475"	"Cyp2f2"	"CYP2F1"
"476"	"Fgf22"	"FGF22"
"477"	"Spta1"	"SPTA1"
"478"	"Ripor2"	"RIPOR2"
"479"	"Tmed7"	"TMED7"
"480"	"Tmed7"	"TMED7-TICAM2"
"481"	"Chga"	"CHGA"
"482"	"Olfr556"	"OR52I2"
"483"	"Rnf112"	"RNF112"
"484"	"Etv1"	"ETV1"
"485"	"Cops7a"	"COPS7A"
"486"	"Trmt44"	"TRMT44"
"487"	"Scd4"	"SCD"
"488"	"Fam209"	"FAM209A"
"489"	"Spdye4b"	"SPDYE2B"
"490"	"En2"	"EN2"
"491"	"Gprc5d"	"GPRC5D"
"492"	"Sap130"	"SAP130"
"493"	"Bag5"	"BAG5"
"494"	"Olfr248"	"OR10X1"
"495"	"Taf3"	"TAF3"
"496"	"Gpr83"	"GPR83"
"497"	"Rbks"	"RBKS"
"498"	"Casp9"	"CASP9"
"499"	"Cnpy1"	"CNPY1"
"500"	"Cavin4"	"CAVIN4"
"501"	"5430427O19Rik"	"CXorf21"
"502"	"Efs"	"EFS"
"503"	"Defb26"	"DEFB125"
"504"	"Idh3a"	"IDH3A"
"505"	"Rbm33"	"RBM33"
"506"	"Pdcd1lg2"	"PDCD1LG2"
"507"	"Slc25a27"	"SLC25A27"
"508"	"S1pr1"	"S1PR1"
"509"	"Tmem139"	"TMEM139"
"510"	"D8Ertd738e"	"C19orf53"
"511"	"Atpif1"	"ATP5IF1"
"512"	"Aldh1a1"	"ALDH1A1"
"513"	"Gcnt3"	"GCNT3"
"514"	"Zfp109"	"ZNF233"
"515"	"Cxcl14"	"CXCL14"
"516"	"Rcbtb2"	"RCBTB2"
"517"	"Sdk1"	"SDK1"
"518"	"Susd1"	"SUSD1"
"519"	"Mrpl52"	"MRPL52"
"520"	"Plppr1"	"PLPPR1"
"521"	"Rab14"	"RAB14"
"522"	"Tmem222"	"TMEM222"
"523"	"Apmap"	"APMAP"
"524"	"Med6"	"MED6"
"525"	"Tom1l2"	"TOM1L2"
"526"	"Zyg11b"	"ZYG11B"
"527"	"Defb34"	"DEFB127"
"528"	"Defb34"	"DEFB132"
"529"	"Slc35g3"	"SLC35G6"
"530"	"Ipo5"	"IPO5"
"531"	"Pkd2l1"	"PKD2L1"
"532"	"Esyt2"	"ESYT2"
"533"	"Mfsd14b"	"MFSD14C"
"534"	"Clec5a"	"CLEC5A"
"535"	"Egfl8"	"EGFL8"
"536"	"Zfp114"	"ZNF233"
"537"	"Dynlt1c"	"DYNLT1"
"538"	"Tars"	"TARS1"
"539"	"Mdn1"	"MDN1"
"540"	"Zfr2"	"ZFR2"
"541"	"Crmp1"	"CRMP1"
"542"	"Gsg1"	"GSG1"
"543"	"Hephl1"	"HEPHL1"
"544"	"Defb15"	"DEFB127"
"545"	"Defb15"	"DEFB132"
"546"	"Wdr54"	"WDR54"
"547"	"Akr1d1"	"AKR1D1"
"548"	"Bloc1s2"	"BLOC1S2"
"549"	"Vrtn"	"VRTN"
"550"	"Mapk10"	"MAPK10"
"551"	"Pdzk1ip1"	"PDZK1IP1"
"552"	"Rubcnl"	"RUBCNL"
"553"	"Dynlt1f"	"DYNLT1"
"554"	"Pdlim7"	"PDLIM7"
"555"	"Gtf2ird1"	"GTF2IRD1"
"556"	"Zyg11a"	"ZYG11A"
"557"	"Dok3"	"DOK3"
"558"	"Dnajc8"	"DNAJC8"
"559"	"Sh3gl3"	"SH3GL3"
"560"	"Serpinb11"	"SERPINB11"
"561"	"Bnip2"	"BNIP2"
"562"	"Cul2"	"CUL2"
"563"	"Rspo1"	"RSPO1"
"564"	"L3mbtl3"	"L3MBTL3"
"565"	"Rexo2"	"REXO2"
"566"	"Seh1l"	"SEH1L"
"567"	"Ctnnal1"	"CTNNAL1"
"568"	"Spata31"	"SPATA31A6"
"569"	"Zfp523"	"ZNF76"
"570"	"Nagk"	"NAGK"
"571"	"Ccdc112"	"CCDC112"
"572"	"Rfx3"	"RFX3"
"573"	"Cog6"	"COG6"
"574"	"Lpl"	"LPL"
"575"	"Phb2"	"PHB2"
"576"	"Hebp1"	"HEBP1"
"577"	"Vax2"	"VAX2"
"578"	"Gm5150"	"SIRPB1"
"579"	"Sh2d7"	"SH2D7"
"580"	"Serpinb12"	"SERPINB12"
"581"	"Zfp235"	"ZNF233"
"582"	"Olfr1513"	"OR10G3"
"583"	"Dnajb4"	"DNAJB4"
"584"	"Tenm2"	"TENM2"
"585"	"Pi4k2a"	"PI4K2A"
"586"	"Btbd2"	"BTBD2"
"587"	"Med18"	"MED18"
"588"	"Clec4f"	"CLEC4F"
"589"	"Gabrd"	"GABRD"
"590"	"Fam216b"	"FAM216B"
"591"	"Ubxn6"	"UBXN6"
"592"	"Cdip1"	"CDIP1"
"593"	"Olfr460"	"OR9A4"
"594"	"Slc25a37"	"SLC25A37"
"595"	"Ccdc34"	"CCDC34"
"596"	"Ppara"	"PPARA"
"597"	"Olfr1510"	"OR10G2"
"598"	"Spdye4a"	"SPDYE2B"
"599"	"Fem1c"	"FEM1C"
"600"	"Sytl3"	"SYTL3"
"601"	"Zfp11"	"ZNF345"
"602"	"Aicda"	"AICDA"
"603"	"Pdha1"	"PDHA1"
"604"	"Tab2"	"TAB2"
"605"	"Add1"	"ADD1"
"606"	"Lpar6"	"LPAR6"
"607"	"Sesn2"	"SESN2"
"608"	"Prdm16"	"PRDM16"
"609"	"Cyp46a1"	"CYP46A1"
"610"	"Serpinb13"	"SERPINB13"
"611"	"Drd4"	"DRD4"
"612"	"Fgf3"	"FGF3"
"613"	"Pla2g7"	"PLA2G7"
"614"	"Hmga1"	"HMGA1"
"615"	"Grm4"	"GRM4"
"616"	"Ell"	"ELL"
"617"	"Dsn1"	"DSN1"
"618"	"Arhgef1"	"ARHGEF1"
"619"	"Ncoa3"	"NCOA3"
"620"	"Cyp4f16"	"CYP4F8"
"621"	"Gstk1"	"GSTK1"
"622"	"Kctd1"	"KCTD1"
"623"	"Dlc1"	"DLC1"
"624"	"Zbtb4"	"ZBTB4"
"625"	"Il25"	"IL25"
"626"	"Dynlt1b"	"DYNLT1"
"627"	"Hira"	"HIRA"
"628"	"Olfr695"	"OR2AG2"
"629"	"Olfr695"	"OR2AG1"
"630"	"Dchs1"	"DCHS1"
"631"	"Panx1"	"PANX1"
"632"	"Cdrt4"	"CDRT4"
"633"	"Riiad1"	"RIIAD1"
"634"	"Ermp1"	"ERMP1"
"635"	"C1qb"	"C1QB"
"636"	"Gdnf"	"GDNF"
"637"	"Lrr1"	"LRR1"
"638"	"Supt5"	"SUPT5H"
"639"	"Defb22"	"DEFB127"
"640"	"Defb22"	"DEFB132"
"641"	"Tmprss11d"	"TMPRSS11D"
"642"	"Cdpf1"	"CDPF1"
"643"	"March8"	"MARCHF8"
"644"	"Pkdrej"	"PKDREJ"
"645"	"Plgrkt"	"PLGRKT"
"646"	"Uck2"	"UCK2"
"647"	"AB124611"	"C19orf38"
"648"	"2510002D24Rik"	"C22orf39"
"649"	"Cers4"	"CERS4"
"650"	"Dlx5"	"DLX5"
"651"	"Wdr70"	"WDR70"
"652"	"Prkar1b"	"PRKAR1B"
"653"	"Gmcl1"	"GMCL2"
"654"	"Cyp4f13"	"CYP4F8"
"655"	"Olfr704"	"OR2AG2"
"656"	"Olfr704"	"OR2AG1"
"657"	"Snrpb2"	"SNRPB2"
"658"	"Olfr1509"	"OR4E2"
"659"	"Myt1l"	"MYT1L"
"660"	"Herc6"	"HERC6"
"661"	"Tyk2"	"TYK2"
"662"	"Usp2"	"USP2"
"663"	"Rgmb"	"RGMB"
"664"	"Ttc38"	"TTC38"
"665"	"Cd207"	"CD207"
"666"	"Carm1"	"CARM1"
"667"	"Fgf4"	"FGF4"
"668"	"Cyp4f17"	"CYP4F8"
"669"	"Mpp6"	"MPP6"
"670"	"Stc1"	"STC1"
"671"	"Rap1gap"	"RAP1GAP"
"672"	"Ptpn4"	"PTPN4"
"673"	"Nox4"	"NOX4"
"674"	"Zfp131"	"ZNF131"
"675"	"Mbl2"	"MBL2"
"676"	"Olfr701"	"OR2AG2"
"677"	"Olfr701"	"OR2AG1"
"678"	"Reg4"	"REG4"
"679"	"Aqp3"	"AQP3"
"680"	"Yipf2"	"YIPF2"
"681"	"Fam178b"	"FAM178B"
"682"	"Ufd1"	"UFD1"
"683"	"Map3k15"	"MAP3K15"
"684"	"Figla"	"FIGLA"
"685"	"Serpinb3b"	"SERPINB4"
"686"	"Tmem174"	"TMEM174"
"687"	"4933411K16Rik"	"C10orf62"
"688"	"Tmem33"	"TMEM33"
